Genome	Genome ID	Accession	BRC ID	RefSeq Locus Tag	Alt Locus Tag	Feature ID	Annotation	Feature Type	Start	End	Length	Strand	FIGfam ID	PATRIC genus-specific families (PLfams)	PATRIC cross-genus families (PGfams)	Protein ID	AA Length	Gene Symbol	Product	GO
Blautia intestinalis AF58-2A	2763028.7	JAQDBG010000006	fig|2763028.7.peg.3264			PATRIC.2763028.7.JAQDBG010000006.CDS.68252.68515.fwd	PATRIC	CDS	68252	68515	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. MSK17_66 MSK.17.66	2883184.1	JAJBNQ010000020	fig|2883184.10.peg.1512	LIR34_11495		PATRIC.2883184.10.JAJBNQ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. MSK17_66 strain MSK.17.66	2883184.3	JAJBNQ010000020	fig|2883184.3.peg.1512	LIR34_11495		PATRIC.2883184.3.JAJBNQ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. MSK17_66 strain MSK.17.66	2883184.4	JAJBNQ010000020	fig|2883184.4.peg.1512	LIR34_11495		PATRIC.2883184.4.JAJBNQ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. MSK17_66 strain MSK.17.66	2883184.5	JAJBNQ010000020	fig|2883184.5.peg.1512	LIR34_11495		PATRIC.2883184.5.JAJBNQ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. MSK17_66 MSK.17.66	2883184.9	JAJBNQ010000020	fig|2883184.9.peg.1512	LIR34_11495		PATRIC.2883184.9.JAJBNQ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia sp. XA-2221	2903961.3	JAJQXX010000003	fig|2903961.3.peg.1690			PATRIC.2903961.3.JAJQXX010000003.CDS.98214.98477.fwd	PATRIC	CDS	98214	98477	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain MGYG-HGUT-00252	40520.1588	CABJFK010000005	fig|40520.1588.peg.1573			PATRIC.40520.1588.CABJFK010000005.CDS.114338.114601.rev	PATRIC	CDS	114338	114601	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain MSK.14.21	40520.1715	JAAIPS010000012	fig|40520.1715.peg.327	G4991_08255		PATRIC.40520.1715.JAAIPS010000012.CDS.69615.69878.rev	PATRIC	CDS	69615	69878	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain MSK.13.37	40520.1717	JAAIPT010000014	fig|40520.1717.peg.455	G4960_08765		PATRIC.40520.1717.JAAIPT010000014.CDS.68444.68707.rev	PATRIC	CDS	68444	68707	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain MSK.17.81	40520.172	JAAISZ010000020	fig|40520.1720.peg.1343	G5A83_11645		PATRIC.40520.1720.JAAISZ010000020.CDS.15868.16131.fwd	PATRIC	CDS	15868	16131	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain D31t1_170403_H11	40520.1731	JADMRC010000005	fig|40520.1731.peg.2657			PATRIC.40520.1731.JADMRC010000005.CDS.45518.45781.rev	PATRIC	CDS	45518	45781	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain SRR5713947-bin.21	40520.1739	CAJLPE010000002	fig|40520.1739.peg.328			PATRIC.40520.1739.CAJLPE010000002.CDS.99545.99808.rev	PATRIC	CDS	99545	99808	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain DFI.6.94	40520.178	JAJCIU010000019	fig|40520.1780.peg.1119	LIZ90_10370		PATRIC.40520.1780.JAJCIU010000019.CDS.17692.17955.fwd	PATRIC	CDS	17692	17955	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain DFI.6.94	40520.1796	JAJCIU010000019	fig|40520.1796.peg.1119	LIZ90_10370		PATRIC.40520.1796.JAJCIU010000019.CDS.17692.17955.fwd	PATRIC	CDS	17692	17955	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain DFI.6.94	40520.1808	JAJCIU010000019	fig|40520.1808.peg.1119	LIZ90_10370		PATRIC.40520.1808.JAJCIU010000019.CDS.17692.17955.fwd	PATRIC	CDS	17692	17955	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum DFI.6.94	40520.1856	JAJCIU010000019	fig|40520.1856.peg.1119	LIZ90_10370		PATRIC.40520.1856.JAJCIU010000019.CDS.17692.17955.fwd	PATRIC	CDS	17692	17955	264	+		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain AM43-41	40520.89	QSFL01000005	fig|40520.89.peg.2868	DW934_07965		PATRIC.40520.89.QSFL01000005.CDS.132009.132272.fwd	PATRIC	CDS	132009	132272	264	+	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain AM32-10AC	40520.93	QSIZ01000001	fig|40520.93.peg.184	DW799_00915		PATRIC.40520.93.QSIZ01000001.CDS.182118.182381.fwd	PATRIC	CDS	182118	182381	264	+	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia obeum strain AM28-23	40520.96	QSKF01000005	fig|40520.96.peg.2744	DW740_07585		PATRIC.40520.96.QSKF01000005.CDS.114338.114601.rev	PATRIC	CDS	114338	114601	264	-	FIG01304862	PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.5.14	536633.12	JAJCLQ010000006	fig|536633.12.peg.2966	LI122_06715		PATRIC.536633.12.JAJCLQ010000006.CDS.101175.101438.rev	PATRIC	CDS	101175	101438	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.3.54	536633.13	JAJCRD010000016	fig|536633.13.peg.1191	LI273_12040		PATRIC.536633.13.JAJCRD010000016.CDS.74407.74670.rev	PATRIC	CDS	74407	74670	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.5.14	536633.16	JAJCLQ010000006	fig|536633.16.peg.2966	LI122_06715		PATRIC.536633.16.JAJCLQ010000006.CDS.101175.101438.rev	PATRIC	CDS	101175	101438	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.3.54	536633.17	JAJCRD010000016	fig|536633.17.peg.1191	LI273_12040		PATRIC.536633.17.JAJCRD010000016.CDS.74407.74670.rev	PATRIC	CDS	74407	74670	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.5.14	536633.2	JAJCLQ010000006	fig|536633.20.peg.2966	LI122_06715		PATRIC.536633.20.JAJCLQ010000006.CDS.101175.101438.rev	PATRIC	CDS	101175	101438	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea strain DFI.3.54	536633.21	JAJCRD010000016	fig|536633.21.peg.1191	LI273_12040		PATRIC.536633.21.JAJCRD010000016.CDS.74407.74670.rev	PATRIC	CDS	74407	74670	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea DFI.5.14	536633.24	JAJCLQ010000006	fig|536633.24.peg.2966	LI122_06715		PATRIC.536633.24.JAJCLQ010000006.CDS.101175.101438.rev	PATRIC	CDS	101175	101438	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Blautia glucerasea DFI.3.54	536633.25	JAJCRD010000016	fig|536633.25.peg.1191	LI273_12040		PATRIC.536633.25.JAJCRD010000016.CDS.74407.74670.rev	PATRIC	CDS	74407	74670	264	-		PLF_572511_00043863	PGF_08076246		87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
Ruminococcus obeum A2-162	657314.3	FP929054	fig|657314.3.peg.3255	CK5_33620	VBIRumObe156199_3255	PATRIC.657314.3.FP929054.CDS.3432168.3432431.fwd	PATRIC	CDS	3432168	3432431	264	+	FIG01304862	PLF_572511_00043863	PGF_08076246	CBL24555.1	87		"PTS system, glucose-specific IIA component (EC 2.7.1.199) / Phosphotransferase system, phosphocarrier protein HPr / Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)"	GO:0008965|phosphoenolpyruvate-protein phosphotransferase activity
